category,sub_category,crimeaditionalinfo,processed_text
Crime Against Women & Children,Computer Generated CSAM/CSEM,I found manipulated images of myself circulating online; I am certain they are computer-generated and highly inappropriate.,found manipul imag circul onlin certain comput gener highli inappropri
Crime Against Women & Children,Cyber Blackmailing & Threatening,Someone is threatening to share edited images of me if I don't pay a large sum of money.,someon threaten share edit imag pay larg sum money
Crime Against Women & Children,Sexual Harassment,I am receiving unsolicited messages with explicit content on social media from an unknown person.,receiv unsolicit messag explicit content social media unknown person
Crime Against Women & Children,Computer Generated CSAM/CSEM,"Images resembling me, created digitally, were posted on an inappropriate website.",imag resembl creat digit post inappropri websit
Crime Against Women & Children,Cyber Blackmailing & Threatening,An individual is threatening to release personal information unless I agree to meet their demands.,individu threaten releas person inform unless agre meet demand
Crime Against Women & Children,Sexual Harassment,I am being harassed by someone repeatedly messaging inappropriate content on Instagram.,harass someon repeatedli messag inappropri content instagram
Crime Against Women & Children,Computer Generated CSAM/CSEM,My child’s images have been altered digitally and shared on various online forums.,child imag alter digit share variou onlin forum
Crime Against Women & Children,Cyber Blackmailing & Threatening,I am being blackmailed with threats to expose personal information if I do not pay money.,blackmail threat expos person inform pay money
Crime Against Women & Children,Sexual Harassment,An unknown user sends unwanted suggestive messages on my professional profile.,unknown user send unwant suggest messag profession profil
Crime Against Women & Children,Computer Generated CSAM/CSEM,"Someone created fake, explicit photos of me using digital software, and they are circulating online.",someon creat fake explicit photo use digit softwar circul onlin
Crime Against Women & Children,Cyber Blackmailing & Threatening,I am receiving threats over text from someone demanding money or they’ll share compromising photos.,receiv threat text someon demand money share compromis photo
Crime Against Women & Children,Sexual Harassment,I face continuous sexual advances from a person on a social networking site.,face continu sexual advanc person social network site
Crime Against Women & Children,Computer Generated CSAM/CSEM,Fake images of my minor daughter were created and distributed online.,fake imag minor daughter creat distribut onlin
Crime Against Women & Children,Cyber Blackmailing & Threatening,An individual is threatening to release altered photos of me unless I send money.,individu threaten releas alter photo unless send money
Crime Against Women & Children,Sexual Harassment,A person keeps sending obscene messages to my email and won’t stop even after being blocked.,person keep send obscen messag email stop even block
Crime Against Women & Children,Computer Generated CSAM/CSEM,Photos of me have been digitally altered in an inappropriate way and shared without my consent.,photo digit alter inappropri way share without consent
Crime Against Women & Children,Cyber Blackmailing & Threatening,A stranger has access to my private photos and is threatening to share them unless I pay.,stranger access privat photo threaten share unless pay
Crime Against Women & Children,Sexual Harassment,I am repeatedly being approached with vulgar messages from someone on a dating app.,repeatedli approach vulgar messag someon date app
Crime Against Women & Children,Computer Generated CSAM/CSEM,Edited photos of a child I know were found circulating on illegal websites.,edit photo child know found circul illeg websit
Crime Against Women & Children,Cyber Blackmailing & Threatening,I am being blackmailed with photos I did not consent to share; they’re asking for money.,blackmail photo consent share ask money
Crime Against Women & Children,Sexual Harassment,I am receiving unsolicited explicit messages on my social media account from an unknown user.,receiv unsolicit explicit messag social media account unknown user
Crime Against Women & Children,Computer Generated CSAM/CSEM,Computer-generated explicit images of my friend’s child were found circulating online.,comput gener explicit imag friend child found circul onlin
Crime Against Women & Children,Cyber Blackmailing & Threatening,An unknown individual is threatening to share doctored images unless I give in to their demands.,unknown individu threaten share doctor imag unless give demand
Crime Against Women & Children,Sexual Harassment,I’m constantly getting vulgar comments on my photos from someone who won’t stop.,constantli get vulgar comment photo someon stop
