category,sub_category,crimeaditionalinfo,processed_text
Cryptocurrency Crime,Cryptocurrency Fraud,"Sir

I have invested around  lakh in these app from  they are very smart and initially keep their payment system clean with no doubt and from  they creating problem in payments Please help",sir invest around lakh app smart initi keep payment system clean doubt creat problem payment pleas help
Cryptocurrency Crime,Cryptocurrency Fraud,"My father Rajiva Choudhary invested  rupees in application called ArgoPro downloaded from Google Playstore They committed a handsome return on the investment From the past  days we are not able to open the website and the application also is throwing errors attached is the screenshot of the application 
My mother is suffering from Stage  cancer and is being treated in Bangalore My father had invested money to support her medical bills We are in need of your support to retrieve our money from these scamsters Please help",father rajiva choudhari invest rupe applic call argopro download googl playstor commit handsom return invest past day abl open websit applic also throw error attach screenshot applic mother suffer stage cancer treat bangalor father invest money support medic bill need support retriev money scamster pleas help
Cryptocurrency Crime,Cryptocurrency Fraud,I was doing crytpo currency trading with mnexcoinvip website I invested  USDT My funds yielded profits of  USDT with the help of the analysts from their exchange When I asked for a partial withdraw of my profits they said you have to pay  commission to analysts upfront which sums up to  USDT I said you deduct the amount from my profits and allow me to withdraw the remaining only then they said NO I got bit suspicious on their behavior and started to explore online and able to identify that it was a scam website and there are lot of people like me who were framed and trapped and looted their hard earned income I want to raise a complaint with cyber cell and bring in the awareness among other innocent people from loosing their money,crytpo currenc trade mnexcoinvip websit invest usdt fund yield profit usdt help analyst exchang ask partial withdraw profit said pay commiss analyst upfront sum usdt said deduct amount profit allow withdraw remain said got bit suspici behavior start explor onlin abl identifi scam websit lot peopl like frame trap loot hard earn incom want rais complaint cyber cell bring awar among innoc peopl loos money
Cryptocurrency Crime,Cryptocurrency Fraud,"I was added to the whatsapp group asking to do trading in USDT currency 
In the group chat the assistant name was given and also the registration link and as well following up with since  months for processing of the withdrawal  But till now they are charging some or the other amounts and everytime they say some issue has arised and need to pay some more dollars to get my withdrawal",ad whatsapp group ask trade usdt currenc group chat assist name given also registr link well follow sinc month process withdraw till charg amount everytim say issu aris need pay dollar get withdraw
Cryptocurrency Crime,Cryptocurrency Fraud,"hi Sir

I have purchase the crypto currency mining machine for lease in the app of sharehash with the worth of  on jan th after getting the money they have escaped there is lot of people purchased from this app and i have few contacts who are all handle this when i call them they didnt pick the call
need you immediate action to get the money from them
  sahil
  ajith
  gautam",hi sir purchas crypto currenc mine machin leas app sharehash worth jan th get money escap lot peopl purchas app contact handl call didnt pick call need immedi action get money sahil ajith gautam
Cryptocurrency Crime,Cryptocurrency Fraud,Exchange of currency indian rupees to ustdthis guy said for exchange of currency direct transfer the amount then in return i will transfer the ustd on your binance account I hv given my transfer id alsoafter taking the money through phone pay he blocked my number,exchang currenc indian rupe ustdthi guy said exchang currenc direct transfer amount return transfer ustd binanc account hv given transfer id alsoaft take money phone pay block number
Cryptocurrency Crime,Cryptocurrency Fraud,"Actually one of my relatives had posted abt the bitcoin investment and receiving profit so just to try I checked with him and then contacted the person
He guided to follow steps and asked to invest first k
After investing he told I need to pay k as some tax
Then I paid gathering it some how
Later he told I need to pay more lakh for retrieving the profit
And we belived and paid coz we had contacted our relative
Then after some time he told he will send back the profits but again asked to pay k
But we already had not left with any money and then we got doubt
When we called up our relative he told his account got hacked and they r scamming people
Please could you help",actual one rel post abt bitcoin invest receiv profit tri check contact person guid follow step ask invest first k invest told need pay k tax paid gather later told need pay lakh retriev profit beliv paid coz contact rel time told send back profit ask pay k alreadi left money got doubt call rel told account got hack r scam peopl pleas could help
Cryptocurrency Crime,Cryptocurrency Fraud,"I got Whatsapp message from some Unknown number  on  She asked some information regarding visit to India in January She Asked me if I am investing in Crypto Currency but I refused They she told that she will teach me about Crypto Currency She taught me to open account on httpswwwbinancecom  and asked to buy some  USDT and then she get those USDT transferred to some other wallethttpsubsacademycom from Binance The Wallet is visible on site ubssystemscom Afterwards she given me private number  and starting chatting from this number She asked to put trade DCEP Crypto and all trade gone successful and slowly balance increased She forced more USDT to invest and I invested slowly upto  USDT When Wallet balance was  then I tried to withdraw but she told that you have to pay  tax so let wallet balance increase upto to  and then you need to pay  tax only  I tried withdrawing the money but UBS site asked me to Pay Taxes If the wallet balance is more than  then  taxes to be paid She made some LTC trade and made wallet balance to approx  I got shocked and understood the scam I requested them many times to return only mine principle as I do not want any profits but they denied I understood all scam They use to change website httpsubsacademycom   httpsubsacademycom  https httpubstlcom
I have done very big mistake and now request to please support and get me out of this scam",got whatsapp messag unknown number ask inform regard visit india januari ask invest crypto currenc refus told teach crypto currenc taught open account httpswwwbinancecom ask buy usdt get usdt transfer wallethttpsubsacademycom binanc wallet visibl site ubssystemscom afterward given privat number start chat number ask put trade dcep crypto trade gone success slowli balanc increas forc usdt invest invest slowli upto usdt wallet balanc tri withdraw told pay tax let wallet balanc increas upto need pay tax tri withdraw money ub site ask pay tax wallet balanc tax paid made ltc trade made wallet balanc approx got shock understood scam request mani time return mine principl want profit deni understood scam use chang websit httpsubsacademycom httpsubsacademycom http httpubstlcom done big mistak request pleas support get scam
Cryptocurrency Crime,Cryptocurrency Fraud,"He Told me for Investing There IDO Platform and they will give money after  Day also he told that he deposit some money in my Bank Account and told me to Convert that money in USDT and Transfer fir same Address and now He Not answering
His Telegram Group name is Cyrpto Hindustan
Please I Requested Recovered my lost money Total  Usdt as per Indian Rs Amount will be Approx ",told invest ido platform give money day also told deposit money bank account told convert money usdt transfer fir address answer telegram group name cyrpto hindustan pleas request recov lost money total usdt per indian rs amount approx
Cryptocurrency Crime,Cryptocurrency Fraud,This person having old account on instagram  having website httpssyntextradescom firstly he asked me to deposit Doller with the name of Forex training and after profit i have to give him  percent fee he shows Doller  profit on website against doller  and he asked me to pay fee first then you can withdraw your amount I paid that amount too mean total amount amount paid to him doller  in USDT by Binance app I tried to contact with Binance but they denied for recovery I know this is big silly mistake done by me If anything possible please help me i will be thankful as next month my sister marriage so i need this money my contact number  currently i am in Noida,person old account instagram websit httpssyntextradescom firstli ask deposit doller name forex train profit give percent fee show doller profit websit doller ask pay fee first withdraw amount paid amount mean total amount amount paid doller usdt binanc app tri contact binanc deni recoveri know big silli mistak done anyth possibl pleas help thank next month sister marriag need money contact number current noida
Cryptocurrency Crime,Cryptocurrency Fraud,Sir it happened that many days ago an app had come which was telling us about trending so we believed it and we deposited a huge amount in this app  For so many days we could withdraw from that app but since yesterday we are not able to withdraw our amount,sir happen mani day ago app come tell us trend believ deposit huge amount app mani day could withdraw app sinc yesterday abl withdraw amount
Cryptocurrency Crime,Cryptocurrency Fraud,As I have invested More Money in KNC nearly  For Delivery Purpose and Now The Company Has Closed Completely And I need The Money I Have Invested please Help me to Get Back The Money THANK YOU,invest money knc nearli deliveri purpos compani close complet need money invest pleas help get back money thank
Cryptocurrency Crime,Cryptocurrency Fraud,sharehash                                                                                           whatsapp        sharehash                                 kirypa   sharehash                     crypto currency,sharehash whatsapp sharehash kirypa sharehash crypto currenc
Cryptocurrency Crime,Cryptocurrency Fraud,"I got to know this app about crypto mining Where i invested Rs  They were about to return Rs  everyday for next  days and return the principal at the end I got to know some people got money from this As this was crypto mining app I thought it may works As they are renting out the Crypto mining systems instead of said amount

Since yesterday they are not responding and the app is also not working Please help Please investigate this with priority as They took money from many people",got know app crypto mine invest rs return rs everyday next day return princip end got know peopl got money crypto mine app thought may work rent crypto mine system instead said amount sinc yesterday respond app also work pleas help pleas investig prioriti took money mani peopl
Cryptocurrency Crime,Cryptocurrency Fraud,Our neighbours  one person NameSanthosh mobile  explain about sharehash app if you invest money daily profit will get and once maturity over invested amount  bonus will get invested on  till  received daily withdraw money after that Sharehash team told upgrade app for faster rechargewithdrawal completely stopped  days  night am removed whatsapp group chat next day Sharehash app connect failure msg came then I came to know app is fraudI lost Rs So please I request Cyber crime team to solve the issue as soon as possible I want my hard earn money back I have become a victim to get profit,neighbour one person namesanthosh mobil explain sharehash app invest money daili profit get matur invest amount bonu get invest till receiv daili withdraw money sharehash team told upgrad app faster rechargewithdraw complet stop day night remov whatsapp group chat next day sharehash app connect failur msg came came know app fraudi lost rs pleas request cyber crime team solv issu soon possibl want hard earn money back becom victim get profit
Cryptocurrency Crime,Cryptocurrency Fraud,Sir I am join Argo pro app in December for earning after that I received amount few day after that I invested  rs than earning is not come and whats app group also close sir group admin is sonam  is mobile number plz do enquiry against this app,sir join argo pro app decemb earn receiv amount day invest rs earn come what app group also close sir group admin sonam mobil number plz enquiri app
Cryptocurrency Crime,Cryptocurrency Fraud,"January  to January  they given new devices  if withdrawal amount come in next  days from the January  no withdrawal amount come they stopped the amount I asked to them they told you bought another new machine then only your amount will come  I not buy that  they message like this For the remaining users who have not completed the valid account authentication please hurry up Those fake accounts that attempted to use fake screenshots have been permanently fired and will not be hired

All users please hurry up today And alert your team members

The verification amount is rs
If it is not done today the verification amount for tomorrow is rs

All fake accounts removed starting Monday please help me sir  I blindly invested now very suffering am very sorry sir am coming from very poor background family",januari januari given new devic withdraw amount come next day januari withdraw amount come stop amount ask told bought anoth new machin amount come buy messag like remain user complet valid account authent pleas hurri fake account attempt use fake screenshot perman fire hire user pleas hurri today alert team member verif amount rs done today verif amount tomorrow rs fake account remov start monday pleas help sir blindli invest suffer sorri sir come poor background famili
