category,sub_category,crimeaditionalinfo,processed_text
Cyber Terrorism,Cyber Terrorism,Mene online application se loan liyha hai meri abhi financial condition nhi he bharne ki to wo log harrasment kar rahe he mere sab contact kar or raat ko msg krte he payment k liyhe harrasment krte he me pareshan ho gaya suicide krne ja raha tha itna pareshan ho gaya hu,mene onlin applic se loan liyha hai meri abhi financi condit nhi bharn ki wo log harras kar rahe mere sab contact kar raat ko msg krte payment k liyh harras krte pareshan ho gaya suicid krne ja raha tha itna pareshan ho gaya hu
Cyber Terrorism,Cyber Terrorism,"I have been receiving threats from Mr Anant Singhal along with his mother resident of Vasant Kunj Phone number  He has been abusing me over phone and across various Text messaging apps from last couple of months Apparently he has a problem that I am Muslim and should not be a part of this country I am attaching some of the screenshots of verbal abuse that he sends me almost everyday He also calls me repeatedly at odd hours wanting to talk to me On once or twice occasions I have spoken to him he was extremely abusive towards me my family and slurred slogans against my religion It is extremely stressful to go through such abuse every other day

Thank You",receiv threat mr anant singhal along mother resid vasant kunj phone number abus phone across variou text messag app last coupl month appar problem muslim part countri attach screenshot verbal abus send almost everyday also call repeatedli odd hour want talk twice occas spoken extrem abus toward famili slur slogan religion extrem stress go abus everi day thank
Cyber Terrorism,Cyber Terrorism,"This caller caling on my mobile number again and again haresing me and abusing with me 



I request you to pls take an action soon as soon against this caller 
Thanks
Rishi Gohil advocate
",caller cale mobil number hares abus request pl take action soon soon caller thank rishi gohil advoc
Cyber Terrorism,Cyber Terrorism,two stranger people met and steal my ATM card AND money deducted they met me at canad place rajiv chauk metro station  they theft rs from my atm card  suspect was injured from one hand  they were two people,two stranger peopl met steal atm card money deduct met canad place rajiv chauk metro station theft rs atm card suspect injur one hand two peopl
Cyber Terrorism,Cyber Terrorism,"app name is asan loan they are sending my nude pictures  super impose and and abusing words

just  days delay of payment  pls take very much legal action agaisnst them


not only asan loan

many loan app
like

credit walet  easy credit wow rupee loan cude rich cash hi cashob cash credit rupee loan loji

they all are international hacker they stole my contact list and send slang language to whatsapp group
 

pls sir take action against them

lag raha hai ki main suicide karoon please mujhe bachaiye sir 

reltive log bhi mujhe kharab samajh rahe hai

ab koi mere sath nehi hai


plase kari se kari karwai kijie in logon ke upar

i am very much fade up",app name asan loan send nude pictur super impos abus word day delay payment pl take much legal action agaisnst asan loan mani loan app like credit walet easi credit wow rupe loan cude rich cash hi cashob cash credit rupe loan loji intern hacker stole contact list send slang languag whatsapp group pl sir take action lag raha hai ki main suicid karoon pleas mujh bachaiy sir reltiv log bhi mujh kharab samajh rahe hai ab koi mere sath nehi hai plase kari se kari karwai kiji logon ke upar much fade
Cyber Terrorism,Cyber Terrorism,I Took loan from cash Advance app developed by mrcashgoodplayer the loan repayment was  days but they are asking payment earlier and I told them that due date has not came i make payment afterwards  but they are blackmailing to me  saying they will call all my contacts which they got while i signed in that app and after calling my all contacts they will ask them for payment,took loan cash advanc app develop mrcashgoodplay loan repay day ask payment earlier told due date came make payment afterward blackmail say call contact got sign app call contact ask payment
Cyber Terrorism,Cyber Terrorism,rupees buy a mobile but money is not refunded i am always warn but she is not responding please help us i am lost of my money of reliance jio store samsung a but she is not responding i am helpless,rupe buy mobil money refund alway warn respond pleas help us lost money relianc jio store samsung respond helpless
Cyber Terrorism,Cyber Terrorism,"my father received this message yesterday night
i run a factory in bawana industrial area in new delhi
and i read this whatspp message today morning
and i received a whatsapp call  also at am today
please take the necessary action",father receiv messag yesterday night run factori bawana industri area new delhi read whatspp messag today morn receiv whatsapp call also today pleas take necessari action
Cyber Terrorism,Cyber Terrorism,I recieved this msg on whatsapp regarding the payment for the loan taken by someone whom i dont have any contact  He gave the threat of hacking my device if i dint made the payment  I dont have have contact with the person and i dont even know anything about the handy loan  Please look into the matter  I have blocked and reported the number to whatsapp,reciev msg whatsapp regard payment loan taken someon dont contact gave threat hack devic dint made payment dont contact person dont even know anyth handi loan pleas look matter block report number whatsapp
Cyber Terrorism,Cyber Terrorism,I have already reported the same crime last time in between november and decemberNow again another fraud company is threatening and harrasing  me to pay loanmoney which i have never taken from them,alreadi report crime last time novemb decembernow anoth fraud compani threaten harras pay loanmoney never taken
Cyber Terrorism,Cyber Terrorism,I took a loan from a app  name m pokket  due to covid lost my job i failed to make payment  i know if i took a loan its my duty to repay the loan but due to covid pandemic  i have no income source   and their rate of interest is too much i also asked them for the settlement  but they refused to do that  they arecalling me snd using bad abusive language  there threatening me that they will share my pics and videos to my family and my relatives im so much depressed and concerned about it please  take a serious look into this,took loan app name pokket due covid lost job fail make payment know took loan duti repay loan due covid pandem incom sourc rate interest much also ask settlement refus arecal snd use bad abus languag threaten share pic video famili rel im much depress concern pleas take seriou look
Cyber Terrorism,Cyber Terrorism,I have cheated by a sampurna yatra they have taken lk from me luxury stay and luxurious travel but they made very low buget hotels please help me no body in future get same trouble as what i had In the hotel they have forced me to pay  thousand more i am helpless i did the payment from my credit card,cheat sampurna yatra taken lk luxuri stay luxuri travel made low buget hotel pleas help bodi futur get troubl hotel forc pay thousand helpless payment credit card
Cyber Terrorism,Cyber Terrorism,Dear sir this is a froud company i have installed this app for loan they without any civil enquiry or any loan agreement send me  and now in app is showing  due in  days and they start black male also for payment they all are hacked my all contacts details they said that they start massage to my contact that I am a froud but I am Ready to pay my  that I have recive plz take a serious action for this company because I am student with very poor family I dont have money to pay  if he dont stop blackmailing then I will sucide kindly do this my current adress is banglore btm layout plz sir,dear sir froud compani instal app loan without civil enquiri loan agreement send app show due day start black male also payment hack contact detail said start massag contact froud readi pay reciv plz take seriou action compani student poor famili dont money pay dont stop blackmail sucid kindli current adress banglor btm layout plz sir
