category,sub_category,crimeaditionalinfo,processed_text
Hacking  Damage to computercomputer system etc,Email Hacking,I need my account back it is very important for me fron this account i start my gaming YouTube carrier please help me and give me my account back i have already complained but no any action against this report please take a strict action against my account,need account back import fron account start game youtub carrier pleas help give account back alreadi complain action report pleas take strict action account
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Good Evening Sir
I am a sincere citizen of our city someone I do not know hack my data and now blackmailing that if I did not pay him thru will misuse my family photos and send to all my contacts Ihumble request you to please help me",good even sir sincer citizen citi someon know hack data blackmail pay thru misus famili photo send contact ihumbl request pleas help
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,i have taken loan from live cashdue to covid oandemic i m unable to pay the loanthey r continuously blckmaling me with different no and harrasing me i have complained before also my family and relative,taken loan live cashdu covid oandem unabl pay loanthey r continu blckmale differ harras complain also famili rel
Hacking  Damage to computercomputer system etc,Email Hacking,Dear Sir I want to tell you that my Facebook and Instagram id have been hacked by someoneI requested to you please take any action thankyou regards Saurabh verma I am hearing impaired please help me,dear sir want tell facebook instagram id hack someonei request pleas take action thankyou regard saurabh verma hear impair pleas help
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I am inform you A person fraud by loan app to me and show wrong loan informationwhen I talk to slove problem person hack my phone and use for data misuse or told upload photos and vedio for do wrong editing do My family photos use for misbehaving And I am attaching all related chat to send me Please help for support this wrong type of person Thank you,inform person fraud loan app show wrong loan informationwhen talk slove problem person hack phone use data misus told upload photo vedio wrong edit famili photo use misbehav attach relat chat send pleas help support wrong type person thank
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Mere saath dhoka hua hai please meri help karo   mujhe bahut pareshan kiya ja raha hai mere contact list pe call ja raha hai meri badnami ki ja rahi hai gali di ja rahi hai dhamki di ja rahi hai agar bhavishya main mere adhaar card or pan card ka galat use hota hai to uska jimedaar mai nahi hunga,mere saath dhoka hua hai pleas meri help karo mujh bahut pareshan kiya ja raha hai mere contact list pe call ja raha hai meri badnami ki ja rahi hai gali di ja rahi hai dhamki di ja rahi hai agar bhavishya main mere adhaar card pan card ka galat use hota hai uska jimedaar mai nahi hunga
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"I have a taken a instant loan already paid but still Harrasing my relatives and family members and sending my pancard and aadhar card sex pics to all pf my family members the recovery agent abousing a words 

Company name is rupee pro and cashbean please help us",taken instant loan alreadi paid still harras rel famili member send pancard aadhar card sex pic pf famili member recoveri agent abous word compani name rupe pro cashbean pleas help us
Hacking  Damage to computercomputer system etc,Email Hacking,he have hacked my gmail account and  pesa share trading account and he is forcing me to marry with me and he is like a physho now and i am married and now it is really disturbing us please help me to get out this situation,hack gmail account pesa share trade account forc marri like physho marri realli disturb us pleas help get situat
Hacking  Damage to computercomputer system etc,Email Hacking,"My Instagram Account
Username authorgfireword 
Account Name Greatel Fireword
got hacked on rd January  at  PM IST by the device Infinix XC Instagram Cheyenne WY United States on January  at  AM PDT My email address greatelkgmailcom phone number   and password which was associated with
my account has been changed by the hacker rendering me unable to access my account in any way Hence I am not able to
recover my account I have requested Instagram Team for help but have not yet received any official mail from the Team I do not want my account to be misused Please mark this issue in your records",instagram account usernam authorgfireword account name greatel fireword got hack rd januari pm ist devic infinix xc instagram cheyenn wy unit state januari pdt email address greatelkgmailcom phone number password associ account chang hacker render unabl access account way henc abl recov account request instagram team help yet receiv offici mail team want account misus pleas mark issu record
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I had taken loan from this app richcash loan sath and fast rupee  they given me loan for  days but they started calling and WhatsApp  th dayes and they are behaving very bad  hacked my contact list documents and threated me share to all contacts and abuse  please solve this my  problem as soon as possible,taken loan app richcash loan sath fast rupe given loan day start call whatsapp th day behav bad hack contact list document threat share contact abus pleas solv problem soon possibl
Hacking  Damage to computercomputer system etc,Email Hacking,"Hes asking on mail some amount of ksome family photosvideos have there we want money other wise all photos uploaded on ur frdsfamily groups and hes typing on telugu language on English

Need help dear sir",he ask mail amount ksome famili photosvideo want money wise photo upload ur frdsfamili group he type telugu languag english need help dear sir
Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mai mobikwik se  ka loan liya tha and  ka limits phle se tha us amount ko wallet se transfer kr account me lena tha isi topic ko mai screen shot kr hm tweeter pr dale uske baad hmme call aaya,mai mobikwik se ka loan liya tha ka limit phle se tha us amount ko wallet se transfer kr account lena tha isi topic ko mai screen shot kr hm tweeter pr dale usk baad hmme call aaya
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Icredit is the chinese app banned by Indian government but these people are harrasing us to pay lot of money with charges they have hacked my contacts and threatening me that they will call my family members,icredit chines app ban indian govern peopl harras us pay lot money charg hack contact threaten call famili member
