category,sub_category,crimeaditionalinfo,processed_text
Online Cyber Trafficking,Online Trafficking,"SIR I HAVE GET SMS WITH PRE APPORVED LOAN  IJUST CLICK ON IT FOR CHECK WITHOUT MY PERMISSION THEY HAVE TRANSFER  IN MY ACCOUNT ON  FEB  WITH TWO APPLICATION ORANGE AND RAINBOW AFTER THAT ON  FEB THEY CALL ON WHATSAPP AND FORCE FOR DEPOSIT  BUT I ASK FOR LOAN AGREEMENT THERY HAVE REFUSE TO PROVIDE ME LOAN AGREEMENTONLY  DAYS AMMOUNRT REACHED  THEY HAVE CALLED EVERY TIME WITH ANAOTHER WHATSAPP NO ONLY AND ALSO USED VULGUR LANGUAGE AND FORCED TO DEPOSIT LOAN AMOUNT
KINDLY GIVE A SOLUTION",sir get sm pre apporv loan ijust click check without permiss transfer account feb two applic orang rainbow feb call whatsapp forc deposit ask loan agreement theri refus provid loan agreementonli day ammounrt reach call everi time anaoth whatsapp also use vulgur languag forc deposit loan amount kindli give solut
Online Cyber Trafficking,Online Trafficking,this number frauder call me I had ordered on amazon in which my money was deducted but the order was not completed when I called Amazon customer care they did not get the call after that I got a call he said that I am talking to Amazon customer care and  He got me a process done through debit card and he deducted my money pls help me sir,number frauder call order amazon money deduct order complet call amazon custom care get call got call said talk amazon custom care got process done debit card deduct money pl help sir
Online Cyber Trafficking,Online Trafficking,I got a number  from a dating app I texted her and suddenly got a nude video call After that she is blackmailing me with the video and asking for money I have paid her Rs  Phonepe   Kishan Modak but she is asking more She is threatening me to viral the video what to do Please help me,got number date app text suddenli got nude video call blackmail video ask money paid rs phonep kishan modak ask threaten viral video pleas help
Online Cyber Trafficking,Online Trafficking,"I have received a notification by chrome he say I won a scratch card  I scratched the card then my account balance is deducted please help me
I am a poor farmer Please catch the hacker and my money ",receiv notif chrome say scratch card scratch card account balanc deduct pleas help poor farmer pleas catch hacker money
Online Cyber Trafficking,Online Trafficking,Nenu sex video Chuchinatu Create Chesaru Amount Phonepe Leda Google pay  Send Cheyalanta Sir Leda Videos Facebook  YouTube Social media Upload Chestaranta Sir Plz Koncham Charya Tisukondi Nenu phigical Hand Capted Sir plz Tq Sir,nenu sex video chuchinatu creat chesaru amount phonep leda googl pay send cheyalanta sir leda video facebook youtub social media upload chestaranta sir plz koncham charya tisukondi nenu phigic hand capt sir plz tq sir
Online Cyber Trafficking,Online Trafficking," I am getting threat from this person
but when I asked him to give his ID he refused n abusing me on my WhatsApp
I only applied loan from Agile loan app but I did not get any loan and this person from that company or whatever else is harrassing me and abusing me
He is saying that they will use my ID like adhar and PAN in suspicious things",get threat person ask give id refus n abus whatsapp appli loan agil loan app get loan person compani whatev els harrass abus say use id like adhar pan suspici thing
Online Cyber Trafficking,Online Trafficking,The app is in playstore with name of the five plus is I download in Play store app they swowed me the Gstin number and pan card I was invest the money is  they told to me after one month you can withdraw your money with interest please help me sirmadam,app playstor name five plu download play store app swow gstin number pan card invest money told one month withdraw money interest pleas help sirmadam
Online Cyber Trafficking,Online Trafficking,"on dated  received friend request from Kajal Sharma  i jsut message we know each other than he ask me for whats number and after  mins she justed called over video and showed nude video of her and asking same from my side i refused to do that 
Now she messaged me after recording video that she will viral this and typed message that i am doing wrong things with girls kindly help immediately",date receiv friend request kajal sharma jsut messag know ask what number min just call video show nude video ask side refus messag record video viral type messag wrong thing girl kindli help immedi
Online Cyber Trafficking,Online Trafficking,I got a message from a random person enquiring about  details he has sent his aadhar He is using abusive words asking for details of a person He is repeatedly messaging even if i am not replying he is sending voice messages,got messag random person enquir detail sent aadhar use abus word ask detail person repeatedli messag even repli send voic messag
Online Cyber Trafficking,Online Trafficking,"Lone payment  please pay money  please  not teking lone application  
Your family  and your friends iam 
I am experience  and   i am bad in my life so any one not teking lone 
I am so many nights  stragglers",lone payment pleas pay money pleas teke lone applic famili friend iam experi bad life one teke lone mani night straggler
Online Cyber Trafficking,Online Trafficking,They are irritating me like if you did not pay the loan before due time they should send my picture to all my contacts like he is a fraud but i did not take any loan from their app They are irritating me please help me,irrit like pay loan due time send pictur contact like fraud take loan app irrit pleas help
Online Cyber Trafficking,Online Trafficking,Some online app name Agile hacked my contacts details and photo of mine pancard and Aathar card sending message to all my contacts stating that I took loan and not repaid with my photo sending to all my contacts stating that I given their reference and legal action will taken for not paying getting continuos call from unknown no all from abroad and computer nos I lost my peacefull and my faith and respect is been damaged threatening and using abusive words asking cash sending unknown upi to make payments and demanding my contacts in my phone via whatsapp pls take necessity action and protect me and my family from this online scammers,onlin app name agil hack contact detail photo mine pancard aathar card send messag contact state took loan repaid photo send contact state given refer legal action taken pay get continuo call unknown abroad comput no lost peaceful faith respect damag threaten use abus word ask cash send unknown upi make payment demand contact phone via whatsapp pl take necess action protect famili onlin scammer
Online Cyber Trafficking,Online Trafficking,"My name is Santosh Kumar Anand use in night of  Feb at   come a friend request from Sonam Sharma and I accept the she talk to me for video call and come nude and talk to me do same as she  We exited and we do  Than she talk to me through WhatsApp she making video of this activity  if we want delite video so pay amount  as soon other wise she serculate on fb and YouTube  She is whats app no is   and she give me account details for fund transfer 
Account Holder  ISHWAR YADAV
Account Number  
IFSC  HDFC
Branch  MANDLA
Account Type SAVING 
After seen a youtube channel we ragisterd this complaint",name santosh kumar anand use night feb come friend request sonam sharma accept talk video call come nude talk exit talk whatsapp make video activ want delit video pay amount soon wise sercul fb youtub what app give account detail fund transfer account holder ishwar yadav account number ifsc hdfc branch mandla account type save seen youtub channel ragisterd complaint
Online Cyber Trafficking,Online Trafficking,Messgae me bol rahe hai aapka data hack kr liya photo hack kr li hai sab jagah faila denge ulta seedha bolvrahe  hai Paise de do pta nhi kya kya Maine screenshot attach kiya hai Aap whn check kre  Aap bas ek baar check kre ki ue fraud krr kon rha h,messga bol rahe hai aapka data hack kr liya photo hack kr li hai sab jagah faila deng ulta seedha bolvrah hai pais de pta nhi kya kya main screenshot attach kiya hai aap whn check kre aap ba ek baar check kre ki ue fraud krr kon rha h
Online Cyber Trafficking,Online Trafficking,"MY TR ID SBIUPI ID mpMTiRBaQPTVUZXBAwlwhDqcsUusjtykBwkD 
 i have in share in my  otp at the time of incident   that  traction is out of my knowlege and act i have share link share  proson",tr id sbiupi id mpmtirbaqptvuzxbawlwhdqcsuusjtykbwkd share otp time incid traction knowleg act share link share proson
