category,sub_category,crimeaditionalinfo,processed_text
Ransomware,Ransomware,Your outgoing and or incoming call are blocked to continue recharge with unlimited pack Phone number    Blocking incoming calls is illegal as per Telecom act so take necessary action and file complaint of harassment of customers as per consumer protection act as this is unfair trade practice on their part,outgo incom call block continu recharg unlimit pack phone number block incom call illeg per telecom act take necessari action file complaint harass custom per consum protect act unfair trade practic part
Ransomware,Ransomware,Dear Sir I purchased product from OLX after  mints a fraud call coming to me he ask me to share the otp i think the caller is from OLX so i share the otp after that i see the balance deduct from my account please look into this matter and resolved this,dear sir purchas product olx mint fraud call come ask share otp think caller olx share otp see balanc deduct account pleas look matter resolv
Ransomware,Ransomware,I received this email yesterday since then I have reset my gmail password The hacker is blackmailing me for ransom amount i believe you will be trace this hacker and solve this Need Support on this Please,receiv email yesterday sinc reset gmail password hacker blackmail ransom amount believ trace hacker solv need support pleas
Ransomware,Ransomware,I WAS USING INSTAGRAM WHERE I SAW AN WEBSITE OF MENS WEAR I OPENED AND GO TO THE WEBSITE BOOK  PIECE OF JACKETS MADE  RS PAYMENT THROUGH UPI  FOR AVANIK BHARATBHAI VAGHASIYA TODAY I REOPENED WEBSITE THEN I REALIZED I WAS FRAUD,use instagram saw websit men wear open go websit book piec jacket made rs payment upi avanik bharatbhai vaghasiya today reopen websit realiz fraud
Ransomware,Ransomware,Unhone pahle hume youTube par notification me whats aap number diya phir jab message kiye to kahe ki apni mummy ki photo aur naam de dijiye hume mummy ki tabiyat ko leke puchna tha ye sab dene ke baad unhone btaya ki pitradosh hai Poja krani hogi  lagega parso diye the  phir kl diye the    teen baar krke paise diye ab phone hi utha rahe phone pe unke husband baat krte hai,unhon pahl hume youtub par notif what aap number diya phir jab messag kiy kahe ki apni mummi ki photo aur naam de dijiy hume mummi ki tabiyat ko leke puchna tha ye sab dene ke baad unhon btaya ki pitradosh hai poja krani hogi lagega parso diy phir kl diy teen baar krke pais diy ab phone hi utha rahe phone pe unk husband baat krte hai
Ransomware,Ransomware,"I received a ransomware email on my outlook work email ID on Monday however i viewed the same on Friday while checking the junk folder The sender claims to have access to my computer and is blackmailing me on the context of me visiting some pornographic sites that i have not done He She is asking me to deposit  USD in a bitcoin wallet through bitcoin in return of himher deleting the video or whatever data they have
The claims by the offender are false and are aimed at gaining unfair monetary gains",receiv ransomwar email outlook work email id monday howev view friday check junk folder sender claim access comput blackmail context visit pornograph site done ask deposit usd bitcoin wallet bitcoin return himher delet video whatev data claim offend fals aim gain unfair monetari gain
Ransomware,Ransomware,While searching for loan I downloaded koko loan app In process of checking eligibility they asked for selfie and pic of adhar Further without and agreement or details deposited Rs  in my account On th they started asking for Rs  and threated to defame by sending my details  to my contacts on whatsapp Everyday they are sending whatsapp messages from different numbers Their app is dhot due amout of Rs  When I denied to pay they are asking to pay Rs  through upi id instead of App Yesterday they threatened to send my personal secrets to relatives and friends In fact they have collected all files of my phone through the app Kindly guide what to do in this situation,search loan download koko loan app process check elig ask selfi pic adhar without agreement detail deposit rs account th start ask rs threat defam send detail contact whatsapp everyday send whatsapp messag differ number app dhot due amout rs deni pay ask pay rs upi id instead app yesterday threaten send person secret rel friend fact collect file phone app kindli guid situat
Ransomware,Ransomware,"Today i install one namely coinbase To explore about bitcoin on my mobile Today i also install window  After that i had install one Adobe acrobat DC paid version availble on net But afer some time i was going to prepare a case to be filed tommorow and found that all my files of whole computer alongwith my snaps are convered into File type YOQS Even my video files and Snaps got conversted I got one file in every folder mentioning therein that i have to pay  dollar or  dollar within  hours
Alongwith following email id
To get this software you need write on our email
supportsysmailch
Reserve email address to contact us
helprestoremanagerairmailcc
Your personal ID
UIhfSdYjlDHYErGmmvYzAKrvdqtWuWZQWBGqCyNY
Please take an appropriate legal action against the culprits and register an FIR as soon as possible for damaging all files in my computer and demanding Ransome from me
Regards
Kamal Grover
Advocate
Punjab and Haryana High Court Chandigarh",today instal one name coinbas explor bitcoin mobil today also instal window instal one adob acrobat dc paid version availbl net afer time go prepar case file tommorow found file whole comput alongwith snap conver file type yoq even video file snap got converst got one file everi folder mention therein pay dollar dollar within hour alongwith follow email id get softwar need write email supportsysmailch reserv email address contact us helprestoremanagerairmailcc person id uihfsdyjldhyergmmvyzakrvdqtwuwzqwbgqcyni pleas take appropri legal action culprit regist fir soon possibl damag file comput demand ransom regard kamal grover advoc punjab haryana high court chandigarh
Ransomware,Ransomware,This is my company email id and i got  this threatening email regarding the data breach and threatening me that he has my entire data of phone and laptop and he will public my photos and videos and asking me the money,compani email id got threaten email regard data breach threaten entir data phone laptop public photo video ask money
Ransomware,Ransomware,On WhatsApp call the person made vedio now blackmailing me that if I will not give them money the make the video viral on all social media platforms I am depressed that they will viral it on platforms please help me please,whatsapp call person made vedio blackmail give money make video viral social media platform depress viral platform pleas help pleas
